algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.08820468630834,0.7911199786265691,1.1671996638178825,nan,15.306583086649576,118.50703304290772,1000.0,0.0,nan,0,71,0,30703,0.9493447171629971,0.9466068979823913,213.97977574666342,213.50161026000976,0.9493447171629971,0.9466068979823913,0.6528157194455465,0.6567008697986603,4560.818752039734,213.5016150559873,213.97977574666342,213.50161026000976,2.113160422071911,3.8329461981447603,2.801074732501051,1.1780180866418286,0.6564809556277293,0.9467618688794068,90.53615872192383,194.8602960713485
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,4.123483649662433,0.7921673129002254,1.1289584907889365,nan,11.515018860499064,116.0969758605957,1000.0,0.0,nan,0,38,0,30892,0.9378435026582012,0.9506716628250047,211.33209991455078,214.52195663452147,0.9378435026582012,0.9506716628250047,0.6557613213857015,0.637374342083931,4885.01139153107,214.52196076465668,211.33209991455078,214.52195663452147,2.153527670212017,3.8587989804296923,2.835636194299087,1.168627263064426,0.6384151144972388,0.9499455405514119,90.88075305175781,203.04905770260834
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,4.177639929491495,0.7953233138720195,1.1269565853476524,nan,15.432802113619717,115.53347660064698,1000.0,0.0,nan,0,24,0,30244,0.9051936219519241,0.9471802588848203,204.12829034978694,213.7671445465088,0.9051936219519241,0.9471802588848203,0.6895198605277322,0.6287343528866768,4372.125999572215,213.76714861226463,204.12829034978694,213.7671445465088,2.1939410467180824,3.884845530284399,2.870302840144609,1.158831827639145,0.6319032656073005,0.944991382077892,89.99768020629882,181.69363143549458
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,4.244896624942296,0.7878263121843339,1.236850574016571,nan,14.437281231085459,115.31462436676026,1000.0,0.0,nan,0,513,0,30889,1.0015858383753664,0.9421026456724815,226.1411978403727,212.44984153747558,1.0015858383753664,0.9421026456724815,0.5353964635481437,0.6223778195679188,4128.248855582119,212.44984463818182,226.1411978403727,212.44984153747558,2.2149378880636754,3.9116346514499862,2.8936165934181997,1.1604627840303894,0.6130583885658,0.9484758448906476,95.83471411132813,283.13588292321447
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.311289599704059,0.7886423139770826,1.211536689698696,nan,12.617426487115713,113.86543655395508,1000.0,0.0,nan,0,416,0,30242,0.9520849077352183,0.9412528237645992,214.58323552058295,212.26921043395996,0.9520849077352183,0.9412528237645992,0.5937888771295547,0.6097876571118832,3848.7262985418292,212.2692158916338,214.58323552058295,212.26921043395996,2.2445020476010944,3.9390822033594572,2.9223341099044395,1.157226952424611,0.6088112057514594,0.9419139368707872,90.48684829711914,184.97457011874107
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.36813158398673,0.78943464666605,1.2776759234070778,nan,16.963914648691812,112.99370319366454,1000.0,0.0,nan,0,298,0,30768,0.8996357975512688,0.9379925208795505,202.693256632487,211.58194244384765,0.8996357975512688,0.9379925208795505,0.6579010983308157,0.6006795911490918,4024.244681645107,211.58194741689658,202.693256632487,211.58194244384765,2.2779110426693427,3.9671346167255552,2.9536004722918276,1.153561120546188,0.6046717893245608,0.9353164704147867,90.71357467651367,205.36011941611184
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.451847099799006,0.7779043135046959,1.4917214139302573,nan,19.873797582543414,110.46663879394531,1000.0,0.0,nan,0,924,0,30502,0.9332884500197013,0.9402784448561912,210.52306730850884,212.09983619689942,0.9332884500197013,0.9402784448561912,0.5937043648699055,0.5831717163324356,3119.7470128004156,212.09984062615612,210.52306730850884,212.09983619689942,2.2906831209449554,3.994245040924371,2.972107888936722,1.1615469011048656,0.5842580433116366,0.9395575036847147,94.52399557495117,228.34829883928148
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.516694303877506,0.7798406478762626,1.4019794238607088,nan,12.85732432774135,108.78965307235718,1000.0,0.0,nan,0,867,0,30449,0.923230126947107,0.9391885220226661,207.90329524448939,211.9216609954834,0.923230126947107,0.9391885220226661,0.5948792397975922,0.5705911760032177,4178.222904565286,211.92166603641428,207.90329524448939,211.9216609954834,2.3230778599515287,4.021752531780369,3.002547728683065,1.157716530122321,0.5721801147561207,0.9381445148681902,90.58995666503907,201.7589077423937
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.552738379499914,0.7786873144904772,1.5374159268538157,nan,17.374899917178684,107.52561782836914,1000.0,0.0,nan,0,1294,0,29930,0.8806067690402303,0.9364226380799181,198.38095347086588,211.27597274780274,0.8806067690402303,0.9364226380799181,0.6462806190053622,0.5604772543907166,2881.843973541745,211.27597759567877,198.38095347086588,211.27597274780274,2.3753645204542946,4.049892129610105,3.0451755641166187,1.1464028860472835,0.5675619358726598,0.931813988342696,91.65210342407227,188.2567740857743
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.592168603949969,0.7788009803493817,1.5704793907205263,nan,16.508963214026558,104.10375247955322,1000.0,0.0,nan,0,1393,0,29919,0.8675324363265371,0.940610745677696,195.53215874565973,212.21843475341797,0.8675324363265371,0.940610745677696,0.6529761238230599,0.5395069053769112,4277.987027729778,212.2184395754161,195.53215874565973,212.21843475341797,2.4284308059660673,4.077148694472732,3.087917961368733,1.1348236692609348,0.5488759234137491,0.9345767568321874,91.92653161621094,238.89490882843842
