algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,56,0.0,0.7902679796516895,0.5927844230830669,1.0,0.03359456141944975,107.00293464660645,,1.0,1.0,305,0,9821,286,5.0,100.47,5.908611337343852,136.31529502868653,8.081342551288138,186.44153951103118
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,57,0.0,0.7904767289757728,0.5916831761598587,1.0,0.03188484149053693,409.8238912963867,,1.0,1.0,520,0,9899,799,11.2,104.18,5.9131857109069825,523.2637097167968,8.03386102524779,710.924386437975
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,58,0.0,0.7909814785420894,0.5906894458830356,1.0,0.03127326288726181,1585.8705017089844,,1.0,1.0,763,0,9900,1085,11.925925925925926,106.63,5.933365609910753,2022.6567944335939,8.007715029991557,2729.7928828532204
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,59,0.0,0.7912667307257653,0.5897715014219284,1.0,0.031219589989632368,6083.244350585937,,1.0,1.0,578,0,9900,722,7.2,104.78,5.942268824577331,7783.504448242187,7.966443824093643,10434.878120128613
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,60,0.0,0.7915917293727398,0.588962918817997,1.0,0.031077471394091845,24016.04955078125,,1.0,1.0,579,0,9900,683,6.117647058823529,104.79,5.960873070885153,30646.99322265625,7.938286712122757,40813.58823998613
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,61,0.0,0.7916359804570675,0.5886021460592746,1.0,0.031237277989275752,94474.873203125,,1.0,1.0,495,0,9900,659,8.631578947368421,103.95,5.956979676296837,120717.88671875,7.8803903081378355,159695.7042345825
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,62,0.0,0.7920119814574719,0.5875627727806568,1.0,0.030984463072381913,375722.8190625,,1.0,1.0,455,0,9900,667,9.636363636363637,103.55,5.977261283180931,479554.1525,7.854681034635392,630179.0616584594
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,63,0.0,0.7924699786305428,0.5865809638798237,1.0,0.030517384400591253,1481334.54875,,1.0,1.0,527,0,9900,853,12.074074074074074,104.27,5.982955720689562,1894214.95875,7.80992395883652,2472636.516157121
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,64,0.0,0.7927644822001457,0.5858728398382663,1.0,0.0304509371612221,5847171.19,,1.0,1.0,1007,0,9900,1205,8.608695652173912,109.07,5.99479631755663,7474080.46,7.773384535889062,9691555.54086192
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,65,0.0,0.7931644807755948,0.5850618717074394,1.0,0.030321922339498996,22779616.32,,1.0,1.0,780,0,9900,1018,9.52,106.8,5.997183971405029,29095972.42,7.724809803041752,37477731.89062118
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,66,0.0,0.7934722289443016,0.5843723356723786,1.0,0.03008930472191423,89193368.0,,1.0,1.0,276,0,9900,422,8.11111111111111,101.76,6.002359257804023,113928216.24,7.680104205320891,145772776.18161857
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,67,0.0,0.7934232297539711,0.5842526994645596,1.0,0.02971849930472672,353538297.28,,1.0,1.0,333,0,9900,571,10.818181818181818,102.33,6.011434316635132,451845625.92,7.640608314414586,574301450.2683051
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,68,0.0,0.7938647276163101,0.583304848074913,1.0,0.029695811765268445,1398281579.52,,1.0,1.0,528,0,9900,854,12.074074074074074,104.28,6.038111686706543,1786815264.0,7.62352231512416,2255974507.410681
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,69,0.0,0.7938992302119732,0.5831149242818355,1.0,0.029423515405505897,5404425006.08,,1.0,1.0,139,0,9900,191,4.333333333333333,100.39,6.029461940129598,6933385098.24,7.56201954544915,8695700238.20232
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,70,0.0,0.7942622303962708,0.5822876094281674,1.0,0.029652084396220742,21403915714.56,,1.0,1.0,323,0,9900,393,5.384615384615385,102.23,6.050676749302791,27437675909.12,7.538204113391979,34183085623.253155
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,71,0.0,0.7942474788427353,0.5823394493758678,1.0,0.029540973929688335,84472627281.92,,1.0,1.0,477,0,9900,595,6.9411764705882355,103.77,6.086232914644129,108170358128.64,7.532119692491337,133868042191.44965
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,72,0.0,0.7945837280154229,0.5817635397613049,1.0,0.02960567260161042,332018692915.2,,1.0,1.0,321,0,9900,471,7.894736842105263,102.21,6.054260128422787,424746778624.0,7.4427670244742306,522159809892.067
