algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.8840889769792557,0.39200695618987086,nan,0.025996613912284375,0.507297959625721,,nan,0.0,0,0,50428,560,6.028854608535767,5.760877545674642,70.0,168.09333333333333,8.525294412438036,8.146352887884275
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.879044479727745,0.41324263021349905,nan,0.026458944100886582,2.131363268693288,,nan,0.0,0,0,50245,375,6.04345566885812,6.125524530410766,53.57142857142857,167.48333333333332,8.489158053228861,8.604439040654489
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.8494364782422781,0.9355136153101921,0.749721047062792,0.032748741144314406,9.191986945470175,,1.0,0.6031543693644411,3238,0,47202,632,6.0502614107998935,12.018634694417317,28.636363636363637,158.39666666666668,8.442248305712406,16.770233795981806
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.8831694784760475,0.3938445520401001,1.0,0.07193575735203922,47.10961306889852,,1.0,1.0,7432,0,42886,514,6.070612994107333,54.25150548934936,8.727272727272727,144.34666666666666,8.414362787481911,75.19699400992334
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.8843194770812989,0.38991406813263896,1.0,0.027858377434313297,266.57723510742187,,1.0,1.0,3624,0,46553,325,6.056804001331329,303.4274331156413,6.0,156.1,8.339440398914054,417.7805643549251
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,56,0.0,0.8845709779858589,0.38883507147431373,1.0,0.025270294034853577,1523.3590340169271,,1.0,1.0,1837,0,48341,302,6.085015853246053,1738.7184295654297,4.0,162.06333333333333,8.322615032960742,2378.0848709322177
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,57,0.0,0.8847544786334037,0.3877756594121456,1.0,0.02476006533950567,9248.869392903645,,1.0,1.0,1036,0,49610,890,6.0922879832131525,10532.209624023437,10.285714285714286,167.85333333333332,8.277195639677336,14309.428545785207
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,58,0.0,0.8849174785614013,0.3870671744644642,1.0,0.02442234128713608,55014.132903645834,,1.0,1.0,1135,0,49832,1297,6.109189209185149,62996.4546875,12.105263157894736,169.66333333333333,8.245007887216643,85020.49093260975
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,59,0.0,0.8850004759430885,0.38630502343177797,1.0,0.02420036006718874,345154.93213541666,,1.0,1.0,791,0,49900,867,6.124783992767334,393369.17625,6.333333333333333,168.97,8.211130975980291,527366.4886658031
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,60,0.0,0.8852254790067673,0.38546699479222296,1.0,0.023956995932385327,2085028.295,,1.0,1.0,517,0,49900,569,6.134790208604601,2392746.7108333334,5.777777777777778,168.05666666666667,8.169897767575698,3186497.8828115095
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,61,0.0,0.8854039773344994,0.3848200164735317,1.0,0.023591140042990445,13470243.86,,1.0,1.0,641,0,49900,757,6.1306891074547405,15350402.083333334,8.923076923076923,168.47,8.110187653792009,20306794.10991683
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,62,0.0,0.8853814744949341,0.3844192427396774,1.0,0.02343284065835178,80438503.73333333,,1.0,1.0,459,0,49900,513,6.148188220130073,92607070.48,6.0,167.86333333333334,8.079295035321717,121694362.30254562
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,63,0.0,0.8855689787864685,0.3837392820417881,1.0,0.02311608594842255,526435742.08,,1.0,1.0,438,0,49900,536,6.182840607383034,600193338.0266666,8.909090909090908,167.79333333333332,8.070846124815167,783469667.7394562
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,64,0.0,0.8856279775500298,0.3832240134477615,1.0,0.022955332873389123,3143476079.786667,,1.0,1.0,907,0,49900,1037,6.16889568737575,3620428876.8,9.285714285714286,169.35666666666665,7.9991372182773715,4694569148.543465
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,65,0.0,0.885791976749897,0.38263628393411636,1.0,0.02265877980738878,20694225701.546665,,1.0,1.0,520,0,49900,640,6.199221650759379,23566048003.413334,10.0,168.06666666666666,7.985049050912388,30354786430.383667
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,66,0.0,0.8858924767374993,0.3822282515466213,1.0,0.02247922521084547,123982216369.49333,,1.0,1.0,400,0,49900,440,6.196457087993622,142648924487.68,5.0,167.66666666666666,7.928455144985934,182521331661.03525
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,67,0.0,0.8860014772415161,0.3817873366177082,1.0,0.02215310772880912,817982623798.6133,,1.0,1.0,702,0,49900,842,6.209355184010097,931556129286.8267,10.0,168.67333333333335,7.892168215963632,1184019508801.165
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,68,0.0,0.8860104778409004,0.381437504440546,1.0,0.02204101163893938,4896847275840.854,,1.0,1.0,562,0,49900,642,6.211014270782471,5635918212191.573,7.2727272727272725,168.20666666666668,7.8418234623102,7115725989542.347
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,69,0.0,0.8860919761657715,0.3810680137574673,1.0,0.02183696612715721,32479698880211.625,,1.0,1.0,336,0,49900,356,6.229080279668172,36969414393856.0,3.3333333333333335,167.45333333333335,7.812376509339093,46366232510647.43
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,70,0.0,0.8861214789748192,0.3807808917760849,1.0,0.021596438456326722,195250911577811.62,,1.0,1.0,219,0,49900,239,6.226972675323486,224718306274181.12,4.0,167.06333333333333,7.757841474594026,279964131434670.28
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,71,0.0,0.8862204772233963,0.3805686867237091,1.0,0.021401264732703568,1288688002019273.5,,1.0,1.0,79,0,49900,85,6.224245389302571,1468540092188808.5,2.0,166.59666666666666,7.702919346852757,1817416438495787.5
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,72,0.0,0.8862399780750274,0.3802366191148758,1.0,0.021312773525714875,7777279547483532.0,,1.0,1.0,536,0,49900,586,6.241674741109212,8951485223518863.0,5.555555555555555,168.12,7.673164012647669,1.1004452671086486e+16
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,73,0.0,0.8863729792833328,0.37990962401032446,1.0,0.021031759632751345,5.097621525989687e+16,,1.0,1.0,710,0,49900,870,6.263090515136719,5.8131208708596696e+16,10.666666666666666,168.7,7.6483321390288195,7.098840273376547e+16
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,74,0.0,0.8863294771313668,0.379657206684351,1.0,0.02068076057359576,3.079377664733855e+17,,1.0,1.0,356,0,49900,364,6.267403316497803,3.542290206550707e+17,1.6,167.52,7.602744536481117,4.2970152317456026e+17
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,75,0.0,0.8863939791917801,0.37948738023638723,1.0,0.020493779657408596,2.0091855127774339e+18,,1.0,1.0,470,0,49900,562,6.274405696175315,2.2936988006638228e+18,8.363636363636363,167.9,7.560666023465547,2.7639096720847565e+18
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,76,0.0,0.8864239773154259,0.37926021993160247,1.0,0.02028938981704414,1.2250991466228304e+19,,1.0,1.0,478,0,49900,564,6.284752282229337,1.4087438660563186e+19,7.818181818181818,167.92666666666668,7.522814032157037,1.6862586856843282e+19
