algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,123,0.0,0.8875999764204026,0.38058010703325273,nan,0.013285022404044866,0.0,,nan,nan,0,0,0,112,6.657603824839873,0.0,5.825472707416457,0.0,6.588235294117647,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,124,0.0,0.8876131761074066,0.3807372739315033,nan,0.013201327167451381,0.0,,nan,nan,0,0,0,224,6.662035485972529,0.0,5.790617374428486,0.0,9.73913043478261,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,125,0.0,0.8876077760457992,0.3809752428531647,nan,0.013060543946921825,0.0,,nan,nan,0,0,0,268,6.678360532831262,0.0,5.766237042553384,0.0,9.925925925925926,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,126,0.0,0.887619178056717,0.38117134499549865,nan,0.01292586261406541,0.0,,nan,nan,0,0,0,138,6.692754218452855,0.0,5.740268551186524,0.0,7.2631578947368425,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,127,0.0,0.8875981792211532,0.3814443496465683,nan,0.012821550272405148,0.0,,nan,nan,0,0,0,192,6.678748802705244,0.0,5.690194966119864,0.0,8.727272727272727,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,128,0.0,0.887586177110672,0.38168025785684584,nan,0.012736975647509098,0.0,,nan,nan,0,0,0,130,6.693419180418315,0.0,5.664802396422747,0.0,6.842105263157895,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,129,0.0,0.8875875782966614,0.38190788024663924,nan,0.012660422924906016,0.0,,nan,nan,0,0,0,420,6.694943428039551,0.0,5.628444088480596,0.0,12.727272727272727,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,130,0.0,0.8876081767082215,0.3821262594461441,nan,0.012577409449964761,0.0,,nan,nan,0,0,0,172,6.697720118931362,0.0,5.593364782427466,0.0,8.19047619047619,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,131,0.0,0.8876131770610809,0.38232832008600237,nan,0.01244657556898892,0.0,,nan,nan,0,0,0,162,6.714142640431722,0.0,5.569823267687461,0.0,7.714285714285714,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,132,0.0,0.887584177494049,0.38255767744779584,nan,0.012300355702638627,0.0,,nan,nan,0,0,0,504,6.718545092476739,0.0,5.53644246906684,0.0,14.0,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,133,0.0,0.887595577120781,0.3828133559823036,nan,0.012206105967983603,0.0,,nan,nan,0,0,0,258,6.718618693175139,0.0,5.499715859650626,0.0,9.555555555555555,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,134,0.0,0.8876075773239136,0.3830019571185112,nan,0.01213922387547791,0.0,,nan,nan,0,0,0,190,6.734559370123821,0.0,5.4761350232282116,0.0,8.26086956521739,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,135,0.0,0.8876047773361206,0.38324472671747206,nan,0.012021347453817725,0.0,,nan,nan,0,0,0,306,6.742517573492868,0.0,5.446177009021588,0.0,10.928571428571429,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,136,0.0,0.8875999776124954,0.38350998258590696,nan,0.011926477946341038,0.0,,nan,nan,0,0,0,362,6.745206471147208,0.0,5.412147409204582,0.0,12.482758620689655,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,137,0.0,0.8876079767942429,0.3837388118505478,nan,0.011818457344546915,0.0,,nan,nan,0,0,0,384,6.751120028957244,0.0,5.380899760372996,0.0,12.387096774193548,0.0
