algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.8838647264242172,0.39515253134071826,nan,0.027356045446358623,0.030434926860034465,,nan,nan,0,0,0,12214,47.25,108.91,8.697515975932411,8.611212178839722,5.988795365606036,5.929369688034058
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.8840994772315025,0.39381732262670993,nan,0.027019328721798956,0.03000521322712302,,nan,nan,0,0,0,10528,23.1875,101.57,8.657566508573563,8.568544975172074,6.00116229057312,5.93945526599884
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.8843152269721031,0.39250684037804606,nan,0.02670946728438139,0.02978424444794655,,nan,nan,0,0,0,10732,29.5,102.6,8.610881401198442,8.525865348924563,6.008726537227631,5.949401807785034
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.8844842274487018,0.39152396902441977,nan,0.026255809883587063,0.14688213378190995,,nan,0.0,0,0,10579,843,40.142857142857146,105.79,8.565770686280032,8.394366854709968,6.0172294435046965,5.896822743415832
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.8845792274177074,0.39062011159956456,nan,0.025956646902486682,0.18545350238680838,,nan,0.0,0,0,10384,588,34.588235294117645,103.84,8.525669375402,8.271358720121516,6.029119772069595,5.849278244972229
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.8846849781274796,0.3897453204542398,nan,0.025852855839766563,0.37392727077007293,,nan,0.0,0,0,10184,412,24.235294117647058,101.84,8.488034101004835,8.162214424401556,6.04265552408555,5.810703573226928
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.8819429777562618,0.3961052868515253,nan,0.02575120024383068,1.1213202565908431,,nan,0.0,0,0,10588,818,45.44444444444444,105.88,8.45190621678642,8.245331104066672,6.05718289481269,5.9091378021240235
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.8604857295379043,0.6414027301967145,nan,0.029465513238683343,3.659449317455292,,nan,0.0,0,0,10701,1065,40.96153846153846,107.01,8.398575496694217,10.235473558074316,6.059223120029156,7.384468717575073
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.8773197272419929,0.44909373097121713,0.9509949633182909,0.05003564905375242,12.3278253698349,,1.0,0.9067290800986454,485,0,9607,296,8.066666666666666,97.82,8.354886968043395,23.19006451781755,6.068022600809733,16.842578020095825
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,56,0.0,0.8848544763028622,0.387407798320055,1.0,0.03443217121995985,47.71699308395386,,1.0,1.0,495,0,9631,286,5.0,98.57,8.334328748317533,83.1033814795249,6.09358024597168,60.760397033691405
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,57,0.0,0.8852192287147045,0.38606290236115454,1.0,0.025205705128610135,190.88086380004881,,1.0,1.0,595,0,9824,799,11.2,103.43,8.285931833756683,328.56403482077155,6.09871810913086,241.83392639160155
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,58,0.0,0.8853684769570828,0.38529770746827124,1.0,0.024354800139553844,764.7632266235352,,1.0,1.0,763,0,9900,1085,11.925925925925926,106.63,8.247607325610982,1308.0941408626102,6.111115279021086,969.2403839111328
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,59,0.0,0.8854734784364701,0.3845646844804287,1.0,0.024029844058677554,2909.245126953125,,1.0,1.0,578,0,9900,722,7.2,104.78,8.198960131161739,4999.717983183729,6.115705609321594,3729.3513842773436
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,60,0.0,0.885661228299141,0.383835124745965,1.0,0.023773539778776467,11610.5599609375,,1.0,1.0,579,0,9900,683,6.117647058823529,104.79,8.154980771585738,19709.203067661,6.123589010799632,14799.674296875
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,61,0.0,0.8857977272570133,0.38325599253177645,1.0,0.023468579459004105,43712.578203125,,1.0,1.0,495,0,9900,659,8.631578947368421,103.95,8.121653090343038,74746.41697688628,6.139356111225329,56502.643828125
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,62,0.0,0.8858189766108989,0.38274167738854886,1.0,0.023306967057287693,178583.55078125,,1.0,1.0,455,0,9900,667,9.636363636363637,103.55,8.084239351214604,299303.31223270675,6.151950749483976,227764.06734375
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,63,0.0,0.8859439785778522,0.382177913710475,1.0,0.0230523254070431,674243.875,,1.0,1.0,527,0,9900,853,12.074074074074074,104.27,8.037576689857636,1139324.076355855,6.157353860360605,872803.05625
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,64,0.0,0.886041728258133,0.38166643448174,1.0,0.022766475114040077,2768352.0275,,1.0,1.0,1007,0,9900,1205,8.608695652173912,109.07,7.995586795761366,4575027.912598988,6.166157618812893,3528239.2575
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,65,0.0,0.8861457273364067,0.3811102656275034,1.0,0.022489095064811407,10185740.78,,1.0,1.0,780,0,9900,1018,9.52,106.8,7.957754841158135,17012074.050460886,6.178031692504883,13207385.09
