algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.6433414528318995,0.7601319797337055,0.6952915106713772,nan,0.8146547218163808,6.243899569511414,1000.0,0.0,nan,0,17,0,10717,1.5254101083077245,3.4062234692765827,213.16026000976564,216.00124618530273,213.16026000976564,216.00124618530273,0.8322463671366374,0.8181937688589096,0.9465626979734953,0.9579535127523693,4740.76236206267,702.660203783881,0.9465626979734953,0.9579535127523693,1.9015727805014966,1.2582117051212072,0.8200267164603524,0.956467754302951,49.59505703735351,282.75491161865637
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.6772185641094968,0.7618749812245369,0.6879175186157227,nan,0.8810940378386042,6.338687579631806,1000.0,0.0,nan,0,116,0,11230,1.5730589343353554,3.4656019107798697,219.39177338973334,215.21666564941407,219.39177338973334,215.21666564941407,0.7875734638908635,0.8112329214811325,0.9729950863761156,0.9540079269103289,4838.742012692511,674.1663013010474,0.9729950863761156,0.9540079269103289,1.9515675296242585,1.26059914736769,0.806808795265066,0.957558371363281,53.13535470581055,357.41539284406497
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.708352901257752,0.7637637311220169,0.6814436197280884,nan,0.7772598415613174,6.289625525474548,1000.0,0.0,nan,0,33,0,10911,1.627475438090396,3.5101138877699203,217.27029334174262,217.38726089477538,217.27029334174262,217.38726089477538,0.7881035109361013,0.7874539920687675,0.9628924833170819,0.9634085478826384,4816.723498126875,660.003956726877,0.9628924833170819,0.9634085478826384,2.004003128026301,1.2557665108185494,0.7875530712180219,0.9633298261692486,51.299182739257816,305.4028372779429
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.735766643164218,0.7654869818687439,0.675250631570816,nan,0.8084961756279594,6.3672768497467045,1000.0,0.0,nan,0,52,0,10980,1.6762875967926818,3.555944055948052,216.1806287263569,216.3811978149414,216.1806287263569,216.3811978149414,0.7808494442387631,0.7810718989372254,0.9590177939965617,0.9588428049329264,5080.166054939063,642.9179141982504,0.9590177939965617,0.9588428049329264,2.052218888623756,1.2529394182293887,0.7810363809601599,0.9588707443632544,51.49110345458984,321.6298929273344
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.7644802290642456,0.7667904803156853,0.6698837453126907,nan,0.6752773246594838,6.4487761116027835,1000.0,0.0,nan,0,29,0,10765,1.733522809564365,3.59527850554949,199.3430666242327,214.9342710876465,199.3430666242327,214.9342710876465,0.864880885396685,0.7761699467897415,0.8840316553323817,0.9531198037864685,4782.443235900163,627.8897993873445,0.8840316553323817,0.9531198037864685,2.1058739487613902,1.245363363043799,0.7870642725835767,0.9446352943271947,48.568460083007814,259.48637048267346
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,3.796536395787501,0.7682084813714027,0.6644111777842044,nan,0.7386485566111172,6.375781917572022,1000.0,0.0,nan,0,53,0,10373,1.777320780533263,3.6282197341986437,221.65528061810662,216.7165966796875,221.65528061810662,216.7165966796875,0.7275366572772756,0.7539009663462639,0.9811348782832634,0.9608066359670048,5325.060001232162,610.092077738059,0.9811348782832634,0.9608066359670048,2.1475005712663386,1.2405824839871997,0.7500702547721374,0.9637603122009912,50.879598876953125,303.0704555895054
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,3.825574911809391,0.769688481837511,0.6596487045288086,nan,0.7899192869663239,6.261694970130921,1000.0,0.0,nan,0,176,0,10524,1.8294692462541644,3.6581351910074242,213.4567473038383,219.0490022277832,213.4567473038383,219.0490022277832,0.759821153205374,0.7282553851604462,0.9467271009533431,0.9708237610018348,5312.945610090961,603.2064036991427,0.9467271009533431,0.9708237610018348,2.1952024352048167,1.2312739638760806,0.7341579271525871,0.9663178814805721,53.6288108215332,365.0367788040127
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,3.875246445657506,0.7709652300179005,0.6549957928061485,nan,0.7409797952725337,6.229541726112366,1000.0,0.0,nan,0,608,0,11038,1.8932694038688442,3.6850987480192394,207.74008824275091,219.2545265197754,207.74008824275091,219.2545265197754,0.781226444702882,0.7133790802955627,0.9211292376097523,0.972407172529426,5142.074409741981,592.5783041717974,0.9211292376097523,0.972407172529426,2.2516352726989233,1.218242594187205,0.7273793300938984,0.9618260113555254,54.653389892578126,385.90353014094256
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,3.923254757705527,0.7721372298896313,0.6507147747278214,nan,0.7142371071709527,6.102503991127014,1000.0,0.0,nan,0,84,0,10700,1.9232756698883897,3.7103703049123156,214.00854661729602,221.30582580566406,214.00854661729602,221.30582580566406,0.7337921791606479,0.6887932994961738,0.9474571813171343,0.9811282035519123,5443.9265749795195,590.5057209619873,0.9474571813171343,0.9811282035519123,2.280694596893175,1.2151932577844182,0.6956575353771953,0.9759919459228783,51.96547283935547,314.08250089166023
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,3.970953852173814,0.7732972300052643,0.6466875772178173,nan,0.7758008528214234,6.149317262172699,1000.0,0.0,nan,0,351,0,10755,1.9828755960335767,3.7357761354588894,210.16242276705228,219.9689971923828,210.16242276705228,219.9689971923828,0.7419165017513129,0.6846862736344338,0.9320111786416235,0.9744083744043789,5487.716981642951,583.2567788042882,0.9320111786416235,0.9744083744043789,2.333455703918639,1.201910235921092,0.6964956857855358,0.9656597467073023,54.92224542236328,402.012638806291
