algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.64106874858458,0.7599476480484009,0.695513075987498,nan,0.8427815785010656,6.268561789989471,1000.0,0.0,nan,0,37,0,30773,217.71379216512045,215.45986289978026,1.4768407857904928,3.4112274171135017,0.8090194513400396,0.8217076352238655,217.71379216512045,215.45986289978026,0.9653900700006938,0.9551052280344916,4814.106470648634,698.4203914590685,0.9653900700006938,0.9551052280344916,2.2505954383196967,1.298926808003153,0.8209894361361018,0.9556873889005031,91.409076171875,394.9067118791946
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.680666405856835,0.7617133150498072,0.6881113360325496,nan,0.7798552638606021,6.331652014255524,1000.0,0.0,nan,0,111,0,31267,223.99897203947367,215.3113278198242,1.5286753365768921,3.466510549557883,0.7625993709815176,0.8106072384119034,223.99897203947367,215.3113278198242,0.9930372653979272,0.954510049334952,4946.785250486522,671.7812995171781,0.9930372653979272,0.954510049334952,2.303809421769288,1.3002625950003222,0.806442172287806,0.9578525931942969,94.63649206542969,456.6903593253591
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.712388401894935,0.763528648018837,0.681704009771347,nan,0.8464745764548962,6.311474907398224,1000.0,0.0,nan,0,52,0,30622,210.3551271878756,216.7833016204834,1.591721663934924,3.511463742743257,0.8244796257752639,0.7904691402614117,210.3551271878756,216.7833016204834,0.933990437748847,0.9610129113270554,4715.811362624149,658.8989158588965,0.933990437748847,0.9610129113270554,2.3596184954582577,1.2928707372252033,0.792544897593243,0.9593636523762727,92.18255395507812,386.1706617717865
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.740370230733485,0.7652213142315547,0.6754908357063929,nan,0.7563177227973938,6.343233888149261,1000.0,0.0,nan,0,73,0,30857,214.02225138346355,216.8679655456543,1.6459067976351434,3.555356543856219,0.7929502407709758,0.7783951340615749,214.02225138346355,216.8679655456543,0.9494989703032259,0.9609484227616372,5050.597599066064,644.1709588490455,0.9494989703032259,0.9609484227616372,2.4096866961235737,1.2882549332163347,0.7794106066226959,0.9601496237529107,93.16785375976562,409.18631151160014
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.771107969463351,0.76660431265831,0.6700369789203008,nan,0.6876998245716095,6.375518825054169,1000.0,0.0,nan,0,47,0,30811,193.97844696044922,216.55045539855956,1.7216323463465142,3.592529147002688,0.8956998934348425,0.7676328390836715,193.97844696044922,216.55045539855956,0.8600297877387807,0.9597685099531206,4655.891664309686,629.1123481490874,0.8600297877387807,0.9597685099531206,2.469991066608984,1.271730792577377,0.7748819176318511,0.9541229219032522,91.27566488647462,363.3863392030674
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.8019067595064255,0.7678806471824646,0.664651307662328,nan,0.7916766748978541,6.307050668001175,1000.0,0.0,nan,0,74,0,30820,213.88694997934195,218.10954147338867,1.777347883814614,3.6247039327785715,0.7706380027991074,0.7460383528470993,213.88694997934195,218.10954147338867,0.9479015174683875,0.9668691165740961,5005.356311103294,615.1896852462646,0.9479015174683875,0.9668691165740961,2.516290303400197,1.2605325141475998,0.7475397399333721,0.9657114696803203,92.80487728881836,376.2151381871914
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.8260983044300456,0.7694896455605825,0.6597888185580572,nan,0.8593994028428021,6.264065712690353,1000.0,0.0,nan,0,133,0,31235,213.80472789091223,218.8658090209961,1.8255263418250391,3.6549794053120968,0.7594902305042043,0.728801141679287,213.80472789091223,218.8658090209961,0.9469797205576268,0.970407141666451,5378.800591845865,604.9404942735005,0.9469797205576268,0.970407141666451,2.5573075672198624,1.2520239214475082,0.731205356011193,0.9685718137454832,94.81568435668946,424.85541783215956
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.875999121099503,0.7707676464319229,0.6551053688923518,nan,0.7483610142679775,6.11508850812912,1000.0,0.0,nan,0,613,0,30625,209.51763556985293,221.53305961608888,1.873910269167296,3.6818823985893414,0.7706702211323906,0.7005374239385128,209.51763556985293,221.53305961608888,0.9291074597555015,0.9821126876174461,5221.65875264139,598.7734541891735,0.9291074597555015,0.9821126876174461,2.5970991209361145,1.241917838327002,0.7060316983730562,0.9779602043287222,95.73682345581055,417.0457792654766
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,3.9198596774531422,0.772036315202713,0.6508115218083064,nan,0.703017046675086,6.071253646612167,1000.0,0.0,nan,0,618,0,30800,216.0865297317505,221.90827407836915,1.912772679822807,3.7069631249243367,0.718752708286047,0.6855032287538052,216.0865297317505,221.90827407836915,0.9587106694482572,0.9835900436231829,5514.665689079382,595.6259569596695,0.9587106694482572,0.9835900436231829,2.630448857863419,1.2349824062159833,0.6879661531636009,0.9817471270176329,95.67807858276367,414.719684834408
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,3.9580878940104673,0.7731379818916321,0.6467934064070384,nan,0.8244038048115644,6.130783085823059,1000.0,0.0,nan,0,681,0,30823,203.84530292857778,220.04533401489257,1.9895589886249605,3.731819753391479,0.7804388579997149,0.6828871423006058,203.84530292857778,220.04533401489257,0.9034731152292149,0.9757412036778779,5233.505725085887,584.0456801713373,0.9034731152292149,0.9757412036778779,2.686463294531568,1.2115012262144105,0.6925544294419589,0.9685795012190013,96.98732693481445,463.892523972314
